;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
253; Unknown; Unknown; Publishing; Sep  12, 2023 to ?;['Fantasy'];['Organized Crime'];['Shounen'];"
Bessatsu Shounen Champion";"
hiroja (Story & Art)"; 2,732
254; 1; 7; Finished; Oct  28, 2017 to Aug  28, 2018;['Boys Love', 'Drama'];['School'];;"
Canna";"
Eguchi, Kousei (Story & Art)"; 29,062
255; Unknown; Unknown; Publishing; Mar  8, 2018 to ?;['Comedy', 'Romance'];['School'];['Shounen'];"
Manga Cross";"
Sakurai, Norio (Story & Art)"; 61,065
256; Unknown; Unknown; Publishing; Dec  26, 2018 to ?;['Action', 'Comedy', 'Fantasy'];['Isekai', 'Reincarnation'];;"
Comp Ace";"
Sakano, Anri (Art), Aizawa, Daisuke (Story)"; 82,165
257; 10; 71; Finished; Apr  24, 2000 to Jul  28, 2006;['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life'];['Love Polygon', 'Visual Arts'];['Josei'];"
Young You";"
Umino, Chica (Story & Art)"; 26,225
258; 4; 35; Finished; May  18, 1999 to May  16, 2009;['Action', 'Adventure', 'Fantasy'];;;"
GFantasy";"
Minekura, Kazuya (Story & Art)"; 12,161
259; 19; 203; Finished; Feb  17, 2005 to Jan  22, 2015;['Drama'];['High Stakes Game', 'Psychological', 'Strategy Game'];['Seinen'];"
Young Jump";"
Kaitani, Shinobu (Story & Art)"; 120,138
260; 15; 92; Finished; Sep  28, 2000 to Apr  3, 2009;['Award Winning', 'Drama', 'Slice of Life'];['Childcare', 'Psychological'];['Josei'];"
For Mrs.";"
Tobe, Keiko (Story & Art)"; 6,601
261; 11; 111; Finished; Jul  27, 2007 to Jun  28, 2013;['Drama'];['Psychological'];['Seinen'];"
Big Comic Superior";"
Arai, Hideki (Story & Art)"; 3,046
262; 16; 121; Finished; Jul  9, 2015 to Sep  4, 2019;['Action', 'Comedy', 'Romance'];['School'];['Shounen'];"
Shounen Magazine (Weekly)";"
Kaneda, Yousuke (Story & Art)"; 64,869
263; 17; 93; Finished; Oct  25, 2008 to Aug  25, 2017;['Award Winning', 'Comedy'];['Crossdressing', 'Visual Arts'];['Josei'];"
Kiss";"
Higashimura, Akiko (Story & Art)"; 45,402
264; 6; 37; Finished; Dec  25, 2010 to Jul  27, 2015;['Award Winning', 'Drama'];;['Seinen'];"
Ikki";"
Matsumoto, Taiyou (Story & Art)"; 23,383
265; 21; 187; Finished; Jul  2, 2012 to Apr  25, 2016;['Action', 'Comedy'];['School'];['Shounen'];"
Shounen Jump (Weekly)";"
Matsui, Yuusei (Story & Art)"; 163,108
266; 48; 724; Finished; Jun  26, 1995 to Jul  29, 2013;['Action', 'Drama'];['Racing'];['Seinen'];"
Young Magazine (Weekly)";"
Shigeno, Shuuichi (Story & Art)"; 32,593
267; 4; 27; Finished; Jan  14, 1999 to Jan  8, 2004;['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life'];['Adult Cast', 'Psychological', 'Space', 'Workplace'];['Seinen'];"
Morning";"
Yukimura, Makoto (Story & Art)"; 59,917
268; 17; 158; Finished; Dec  7, 1999 to Apr  8, 2003;['Action', 'Adventure'];;['Shounen'];"
Shounen Jump (Weekly)";"
Araki, Hirohiko (Story & Art)"; 211,162
269; 5; 47; Finished; Feb  1, 2000 to Mar  1, 2003;['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sports'];;['Seinen'];"
Business Jump";"
Yumemakura, Baku (Story), Taniguchi, Jiro (Art)"; 17,523
270; Unknown; Unknown; Publishing; Feb  21, 2007 to ?;['Action', 'Comedy', 'Sci-Fi'];['Super Power'];;"
Dengeki Daioh";"
Kamachi, Kazuma (Story), Fuyukawa, Motoi (Art)"; 30,814
271; 30; 272; Finished; Mar  5, 2018 to Sep  30, 2024;['Action', 'Supernatural'];['School'];['Shounen'];"
Shounen Jump (Weekly)";"
Akutami, Gege (Story & Art)"; 472,891
272; 5; 42; Finished; Jul  4, 2015 to Sep  4, 2017;['Comedy', 'Romance', 'Slice of Life'];['Historical'];['Shounen'];"
Jump SQ.";"
Kirioka, Sana (Story & Art)"; 26,728
273; 1; 7; Finished; Nov  8, 2013 to Apr  24, 2018;['Comedy', 'Romance'];['School'];['Shoujo'];"
LaLa DX";"
Fujiwara, Hiro (Story & Art)"; 18,551
274; Unknown; Unknown; Publishing; Aug  31, 2021 to ?;['Horror', 'Mystery', 'Supernatural'];;;"
Young Ace UP";"
Mokumokuren (Story & Art)"; 54,386
275; 10; 41; Finished;  1995 to  1998;['Comedy', 'Fantasy', 'Horror', 'Mystery', 'Supernatural'];;['Josei'];"
Horror M";"
Akino, Matsuri (Story & Art)"; 36,252
276; 31; 267; Finished; Sep  26, 1990 to Sep  18, 1996;['Action', 'Comedy', 'Drama', 'Romance'];['Delinquents', 'School'];['Shounen'];"
Shounen Magazine (Weekly)";"
Fujisawa, Tooru (Story & Art)"; 23,956
277; 24; 233; Finished; Feb  3, 1998 to Aug  25, 2003;['Comedy', 'Drama', 'Slice of Life', 'Sports'];['Delinquents', 'School', 'Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Morita, Masanori (Story & Art)"; 25,982
278; 47; 418; Finished; May  17, 2006 to Jul  15, 2015;['Award Winning', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Terajima, Yuuji (Story & Art)"; 26,093
279; Unknown; Unknown; Publishing; Jun  18, 2008 to ?;['Comedy', 'Girls Love'];['CGDCT', 'Gag Humor', 'School'];;"
Comic Yuri Hime";"
Namori (Story & Art)"; 16,421
