;Rank;Titulo;Calificacion;Link
168;169;Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch;8.36;https://myanimelist.net/manga/16081/Umineko_no_Naku_Koro_ni_-_Episode_3__Banquet_of_the_Golden_Witch
169;170;Kimi no Yoru ni Fureru;8.36;https://myanimelist.net/manga/144011/Kimi_no_Yoru_ni_Fureru
170;171;Wotaku ni Koi wa Muzukashii;8.35;https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii
171;172;Ballroom e Youkoso;8.35;https://myanimelist.net/manga/48347/Ballroom_e_Youkoso
172;173;Gochuumon wa Usagi desu ka?;8.35;https://myanimelist.net/manga/49835/Gochuumon_wa_Usagi_desu_ka
173;174;Kieta Hatsukoi;8.35;https://myanimelist.net/manga/122906/Kieta_Hatsukoi
174;175;Bungou Stray Dogs: Dazai, Chuuya, Juugosai;8.35;https://myanimelist.net/manga/152024/Bungou_Stray_Dogs__Dazai_Chuuya_Juugosai
175;176;Versailles no Bara;8.35;https://myanimelist.net/manga/660/Versailles_no_Bara
176;177;Konjiki no Gash!!;8.35;https://myanimelist.net/manga/869/Konjiki_no_Gash
177;178;Kanata kara;8.34;https://myanimelist.net/manga/923/Kanata_kara
178;179;Homunculus;8.34;https://myanimelist.net/manga/936/Homunculus
179;180;Hadashi no Gen;8.34;https://myanimelist.net/manga/3281/Hadashi_no_Gen
180;181;Ten: Tenhou-doori no Kaidanji;8.34;https://myanimelist.net/manga/3571/Ten__Tenhou-doori_no_Kaidanji
181;182;Mairimashita! Iruma-kun;8.34;https://myanimelist.net/manga/104241/Mairimashita_Iruma-kun
182;183;Gin no Saji;8.33;https://myanimelist.net/manga/25096/Gin_no_Saji
183;184;Youjo Senki;8.33;https://myanimelist.net/manga/98436/Youjo_Senki
184;185;Mahoutsukai no Yome;8.33;https://myanimelist.net/manga/61189/Mahoutsukai_no_Yome
185;186;JoJo no Kimyou na Bouken Part 9: The JoJoLands;8.32;https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands
186;187;Sensou Kyoushitsu;8.32;https://myanimelist.net/manga/147585/Sensou_Kyoushitsu
187;188;Houkago Kitaku Biyori;8.32;https://myanimelist.net/manga/165876/Houkago_Kitaku_Biyori
188;189;Lovely★Complex;8.32;https://myanimelist.net/manga/31/Lovely★Complex
189;190;Gakuen Alice;8.32;https://myanimelist.net/manga/320/Gakuen_Alice
190;191;Full Metal Panic! Sigma;8.32;https://myanimelist.net/manga/895/Full_Metal_Panic_Sigma
191;192;Piano no Mori;8.32;https://myanimelist.net/manga/2895/Piano_no_Mori
192;193;Machida-kun no Sekai;8.32;https://myanimelist.net/manga/58141/Machida-kun_no_Sekai
193;194;Totsukuni no Shoujo;8.32;https://myanimelist.net/manga/93972/Totsukuni_no_Shoujo
194;195;Blue Giant Supreme;8.32;https://myanimelist.net/manga/100922/Blue_Giant_Supreme
195;196;Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou;8.31;https://myanimelist.net/manga/156681/Tsuihou_sareru_Tabi_ni_Skill_wo_Te_ni_Ireta_Ore_ga_100_no_Isekai_de_2-shuume_Musou
196;197;Teito Seihai Kitan: Fate/type Redline;8.31;https://myanimelist.net/manga/123444/Teito_Seihai_Kitan__Fate_type_Redline
197;198;Mushishi Tokubetsu-hen: Hihamukage;8.31;https://myanimelist.net/manga/62023/Mushishi_Tokubetsu-hen__Hihamukage
198;199;Tokyo Ghoul:re;8.31;https://myanimelist.net/manga/81117/Tokyo_Ghoul_re
199;200;Saiki Kusuo no Ψ-nan;8.31;https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Ψ-nan
200;201;Ookami Kodomo no Ame to Yuki;8.31;https://myanimelist.net/manga/40761/Ookami_Kodomo_no_Ame_to_Yuki
201;202;Mars;8.31;https://myanimelist.net/manga/443/Mars
202;203;Shin Angyo Onshi;8.31;https://myanimelist.net/manga/736/Shin_Angyo_Onshi
203;204;Touch;8.31;https://myanimelist.net/manga/1013/Touch
204;205;Saikyou Densetsu Kurosawa;8.31;https://myanimelist.net/manga/3575/Saikyou_Densetsu_Kurosawa
205;206;Hoshi no Samidare;8.31;https://myanimelist.net/manga/10552/Hoshi_no_Samidare
206;207;Daichouhen Doraemon;8.31;https://myanimelist.net/manga/12471/Daichouhen_Doraemon
207;208;Black Jack;8.30;https://myanimelist.net/manga/1600/Black_Jack
208;209;Kimi ni Todoke;8.30;https://myanimelist.net/manga/3378/Kimi_ni_Todoke
209;210;Takemitsuzamurai;8.30;https://myanimelist.net/manga/15306/Takemitsuzamurai
210;211;Bocchi the Rock!;8.30;https://myanimelist.net/manga/118568/Bocchi_the_Rock
211;212;Ao no Hako;8.30;https://myanimelist.net/manga/135545/Ao_no_Hako
212;213;Ojisama to Neko;8.29;https://myanimelist.net/manga/112774/Ojisama_to_Neko
213;214;Tsubasa: RESERVoir CHRoNiCLE;8.29;https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE
214;215;Kodomo no Omocha;8.29;https://myanimelist.net/manga/18/Kodomo_no_Omocha
215;216;Paradise Kiss;8.29;https://myanimelist.net/manga/29/Paradise_Kiss
216;217;Blame!;8.29;https://myanimelist.net/manga/149/Blame
217;218;Black Lagoon;8.29;https://myanimelist.net/manga/735/Black_Lagoon
218;219;Doukyuusei;8.29;https://myanimelist.net/manga/9699/Doukyuusei
219;220;Love So Life;8.29;https://myanimelist.net/manga/14236/Love_So_Life
220;221;Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch;8.29;https://myanimelist.net/manga/16144/Umineko_no_Naku_Koro_ni_-_Episode_4__Alliance_of_the_Golden_Witch
221;222;Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu;8.29;https://myanimelist.net/manga/148542/Akuyaku_Reijou_no_Naka_no_Hito__Danzai_sareta_Tenseisha_no_Tame_Usotsuki_Heroine_ni_Fukushuu_Itashimasu
222;223;Canis Series;8.29;https://myanimelist.net/manga/57791/Canis_Series
223;224;Harukaze no Étranger;8.29;https://myanimelist.net/manga/77609/Harukaze_no_Étranger
224;225;Chichi to Hige-Gorilla to Watashi;8.28;https://myanimelist.net/manga/84983/Chichi_to_Hige-Gorilla_to_Watashi
225;226;Fumetsu no Anata e;8.28;https://myanimelist.net/manga/102343/Fumetsu_no_Anata_e
226;227;Koko wa Ima kara Rinri desu.;8.28;https://myanimelist.net/manga/106809/Koko_wa_Ima_kara_Rinri_desu
227;228;Shouwa Genroku Rakugo Shinjuu;8.28;https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu
228;229;Orange;8.28;https://myanimelist.net/manga/35573/Orange
229;230;D.Gray-man;8.28;https://myanimelist.net/manga/24/DGray-man
230;231;Sora wa Akai Kawa no Hotori;8.28;https://myanimelist.net/manga/79/Sora_wa_Akai_Kawa_no_Hotori
231;232;Hellsing;8.28;https://myanimelist.net/manga/267/Hellsing
232;233;Claymore;8.28;https://myanimelist.net/manga/583/Claymore
233;234;Tokyo Crazy Paradise;8.28;https://myanimelist.net/manga/762/Tokyo_Crazy_Paradise
234;235;Angel Densetsu;8.28;https://myanimelist.net/manga/838/Angel_Densetsu
235;236;Meitantei Conan;8.28;https://myanimelist.net/manga/1061/Meitantei_Conan
236;237;Buddha;8.28;https://myanimelist.net/manga/1111/Buddha
237;238;Higurashi no Naku Koro ni Kai: Meakashi-hen;8.28;https://myanimelist.net/manga/1262/Higurashi_no_Naku_Koro_ni_Kai__Meakashi-hen
238;239;Komatta Toki ni wa Hoshi ni Kike;8.28;https://myanimelist.net/manga/2459/Komatta_Toki_ni_wa_Hoshi_ni_Kike
239;240;Hana to Akuma;8.28;https://myanimelist.net/manga/6520/Hana_to_Akuma
240;241;Higurashi no Naku Koro ni Kai: Minagoroshi-hen;8.28;https://myanimelist.net/manga/9548/Higurashi_no_Naku_Koro_ni_Kai__Minagoroshi-hen
241;242;Gakuen Babysitters;8.28;https://myanimelist.net/manga/16922/Gakuen_Babysitters
242;243;Hanazakari no Kimitachi e;8.27;https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e
243;244;Trigun Maximum;8.27;https://myanimelist.net/manga/704/Trigun_Maximum
244;245;Saint Seiya: The Lost Canvas - Meiou Shinwa;8.27;https://myanimelist.net/manga/1047/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa
245;246;Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen;8.27;https://myanimelist.net/manga/1263/Higurashi_no_Naku_Koro_ni_Kai__Tsumihoroboshi-hen
246;247;Sakamichi no Apollon: Bonus Track;8.27;https://myanimelist.net/manga/47022/Sakamichi_no_Apollon__Bonus_Track
247;248;Bungou Stray Dogs Wan!;8.27;https://myanimelist.net/manga/98379/Bungou_Stray_Dogs_Wan
248;249;Dengeki Daisy;8.26;https://myanimelist.net/manga/5255/Dengeki_Daisy
249;250;Magi;8.26;https://myanimelist.net/manga/14790/Magi
250;251;Kengan Ashura;8.26;https://myanimelist.net/manga/72025/Kengan_Ashura
251;252;Yomawari Sensei;8.26;https://myanimelist.net/manga/17910/Yomawari_Sensei
252;253;Yuki no Yousei;8.26;https://myanimelist.net/manga/145496/Yuki_no_Yousei
253;254;Mairimashita! Iruma-kun: If Episode of Mafia;8.26;https://myanimelist.net/manga/162733/Mairimashita_Iruma-kun__If_Episode_of_Mafia
254;255;Boy Meets Maria;8.26;https://myanimelist.net/manga/119392/Boy_Meets_Maria
255;256;Boku no Kokoro no Yabai Yatsu;8.25;https://myanimelist.net/manga/112807/Boku_no_Kokoro_no_Yabai_Yatsu
256;257;Kage no Jitsuryokusha ni Naritakute!;8.25;https://myanimelist.net/manga/119022/Kage_no_Jitsuryokusha_ni_Naritakute
257;258;Hachimitsu to Clover;8.25;https://myanimelist.net/manga/1009/Hachimitsu_to_Clover
258;259;Saiyuuki Gaiden;8.25;https://myanimelist.net/manga/1097/Saiyuuki_Gaiden
259;260;Liar Game;8.25;https://myanimelist.net/manga/1649/Liar_Game
260;261;Hikari to Tomo ni...: Jiheishouji wo Kakaete;8.25;https://myanimelist.net/manga/4258/Hikari_to_Tomo_ni__Jiheishouji_wo_Kakaete
261;262;Kiichi VS;8.25;https://myanimelist.net/manga/15547/Kiichi_VS
262;263;Kishuku Gakkou no Juliet;8.25;https://myanimelist.net/manga/91514/Kishuku_Gakkou_no_Juliet
263;264;Kuragehime;8.25;https://myanimelist.net/manga/17904/Kuragehime
264;265;Sunny;8.24;https://myanimelist.net/manga/23571/Sunny
265;266;Ansatsu Kyoushitsu;8.24;https://myanimelist.net/manga/39883/Ansatsu_Kyoushitsu
266;267;Initial D;8.24;https://myanimelist.net/manga/375/Initial_D
267;268;Planetes;8.24;https://myanimelist.net/manga/481/Planetes
268;269;JoJo no Kimyou na Bouken Part 6: Stone Ocean;8.24;https://myanimelist.net/manga/3009/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean
269;270;Kamigami no Itadaki;8.24;https://myanimelist.net/manga/4625/Kamigami_no_Itadaki
270;271;Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun;8.24;https://myanimelist.net/manga/7776/Toaru_Majutsu_no_Index_Gaiden__Toaru_Kagaku_no_Railgun
